Name,# Summer,Gold,Silver,Bronze,Total,# Winter,Gold.1,Silver.1,Bronze.1,Total.1,# Games,Gold.2,Silver.2,Bronze.2,Combined total
Afghanistan,16,0,0,2,2,0,0,0,0,0,16,0,0,2,2
Albania,10,0,0,2,2,6,0,0,0,0,16,0,0,2,2
Algeria,15,7,4,9,20,3,0,0,0,0,18,7,4,9,20
Argentina,26,22,27,31,80,21,0,0,0,0,47,22,27,31,80
Armenia,8,2,11,9,22,9,0,0,0,0,17,2,11,9,22
Australasia,2,3,4,5,12,0,0,0,0,0,2,3,4,5,12
Australia,28,182,192,226,600,21,9,9,7,25,49,191,201,233,625
Austria,29,22,35,44,101,25,76,97,96,269,54,98,132,140,370
Azerbaijan,8,9,16,31,56,8,0,0,0,0,16,9,16,31,56
Bahamas,18,8,2,6,16,0,0,0,0,0,18,8,2,6,16
Bahrain,11,4,3,1,8,0,0,0,0,0,11,4,3,1,8
Barbados,14,0,0,1,1,0,0,0,0,0,14,0,0,1,1
Belarus,7,13,30,42,85,8,8,7,5,20,15,21,37,47,105
Belgium,28,47,57,63,167,23,2,2,5,9,51,49,59,68,176
Bermuda,20,1,0,1,2,8,0,0,0,0,28,1,0,1,2
Bohemia,3,0,1,3,4,0,0,0,0,0,3,0,1,3,4
Botswana,12,1,2,1,4,0,0,0,0,0,12,1,2,1,4
Brazil,24,40,49,81,170,10,1,0,0,1,34,41,49,81,171
British West Indies,1,0,0,2,2,0,0,0,0,0,1,0,0,2,2
Bulgaria,22,57,89,85,231,22,1,2,5,8,44,58,91,90,239
Burkina Faso,11,0,0,1,1,0,0,0,0,0,11,0,0,1,1
Burundi,8,1,1,0,2,0,0,0,0,0,8,1,1,0,2
Cameroon,16,3,1,2,6,1,0,0,0,0,17,3,1,2,6
Canada,28,80,117,156,353,25,82,79,85,246,53,162,196,241,599
Cape Verde,8,0,0,1,1,0,0,0,0,0,8,0,0,1,1
Chile,25,3,8,4,15,19,0,0,0,0,44,3,8,4,15
China,12,303,226,198,727,13,27,36,29,92,25,330,262,227,819
Colombia,21,5,16,17,38,4,0,0,0,0,25,5,16,17,38
Costa Rica,17,1,1,2,4,6,0,0,0,0,23,1,1,2,4
Ivory Coast,15,1,1,3,5,0,0,0,0,0,15,1,1,3,5
Croatia,9,16,15,18,49,10,4,6,1,11,19,20,21,19,60
Cuba,22,86,70,88,244,0,0,0,0,0,22,86,70,88,244
Cyprus,12,0,2,0,2,13,0,0,0,0,25,0,2,0,2
Czech Republic,8,22,22,28,72,9,12,13,14,39,17,34,35,42,111
Czechoslovakia,16,49,49,45,143,16,2,8,15,25,32,51,57,60,168
Denmark,29,50,80,84,214,16,0,2,0,2,45,50,82,84,216
Djibouti,10,0,0,1,1,0,0,0,0,0,10,0,0,1,1
